if;fio;birthdate;startdate;post;rate;salary;sectorid;driver
71;Печкин Александр Васильевич;20.07.1965;10.05.2005;инженер;lead;7100;1;0
72;Попов Сергей Сергеевич;07.04.1973;23.08.2003;специалист;jun;5600;5;1
73;Попова Анастасия Сергеевна;07.04.1973;23.08.2013;специалист;jun;5720;5;0
74;Попова Ульяна Геннадьевна;20.09.1951;10.03.2001;инженер;jun;7100;1;0
75;Похлебкина Светлана Альбертовна;29.04.1947;01.08.2007;специалист;senior;4294;5;0
76;Пушкарева Инна Александровна;21.06.1962;09.06.2002;специалист;jun;6576;5;0
77;Ракова Карина Станиславовна;08.11.1949;22.01.2009;инженер;lead;5614;1;0
78;Распутина Таисия Геннадьевна;01.03.1976;29.07.2006;специалист;lead;5511;5;0
79;Розова Кристина Вячеславовна;27.05.1961;03.07.2001;бухгалтер;middle;4775;4;1
80;Рубин Кирилл Викторович;25.02.1981;05.10.2019;программист;middle;4757;2;1
81;Рыбаков Захар Степанович;28.01.1986;02.11.2014;бухгалтер;senior;6595;4;0
82;Сенкевич Борис Ростиславович;08.12.1964;22.12.2004;специалист;senior;4023;5;0
83;Сидоров Олег Александрович;06.02.1962;24.10.2002;инженер;senior;5766;1;0
84;Скворцов Валентин Филиппович;18.07.1971;12.05.2001;программист;middle;5357;2;1
85;Смеляков Алексей Алексеевич;01.10.1950;29.02.2000;бухгалтер;middle;4708;4;0
86;Соловьева Васса Васильевна;06.05.1942;24.07.2002;инженер;senior;5144;1;0
87;Стрелова Эмма Викторовна;01.06.1972;29.06.2002;бухгалтер;jun;4870;4;0
88;Тарасов Анатолий Захарович;09.09.1953;03.03.2003;программист;jun;4122;2;0
89;Токарева Марианна Владимировна;03.08.1953;27.04.2003;инженер;senior;5963;1;1
90;Туинов Никита Макарович;10.03.1986;20.09.2014;программист;jun;4142;2;1
91;Туинова Алиса Георгьевна;19.08.1955;11.04.2005;программист;lead;4946;2;0
92;Уткин Захар Валерьевич;28.01.1959;02.11.2009;бухгалтер;senior;4769;4;1
93;Федорова Анастасия Леонидовна;03.05.1985;27.07.2015;инженер;middle;6768;1;1
94;Федорова Светлана Макаровна;09.09.1952;21.03.2002;специалист;middle;5427;5;0
95;Фурманова Дарья Владиславовна;02.02.1982;28.10.2018;специалист;middle;5709;5;0
96;Цветаев Геннадий Ефремович;30.07.1968;31.05.2008;специалист;middle;4468;5;1
97;Черникова Надежда Вольдемаровна;19.04.1970;11.08.2000;инженер;senior;4744;1;1
98;Чернышевский Тарас Антонович;28.11.1974;02.01.2004;специалист;jun;4595;5;1
99;Шишкин Василий Борисович;10.04.1954;20.08.2004;программист;lead;6253;2;1
100;Яброва Кристина Александровна;03.05.1969;27.07.2009;бухгалтер;middle;4520;4;0
